title,function,function_group,industries,industry_group,cluster
machine operator,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
data operations analyst,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
warehouse worker in fashion industry,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","retail luxury goods,jewelry","Other, Retail and Consumer Goods",17
production operator (6/1/1/9329-o),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
quality process specialist,"management,manufacturing","Management and Leadership, Manufacturing and Engineering","staffing,recruiting",Financial and Business Services,17
mig-mag welder (9/1/1/721245),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
upholsterer,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
tig welder (32/1/1),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
135 mag welder,"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
welder (11/1/1/721206),"management,manufacturing","Management and Leadership, Manufacturing and Engineering",human resources services,Financial and Business Services,17
recruitment coordinator - visa,human resources,Human Resources and People Management,"staffing,recruiting",Financial and Business Services,18
global sourcing manager,"purchasing,supply chain",Purchasing and Supply Chain,"staffing,recruiting",Financial and Business Services,18
"operational, logistics and purchasing manager","purchasing,supply chain",Purchasing and Supply Chain,"staffing,recruiting",Financial and Business Services,18
crm specialist,other,Other,"staffing,recruiting",Financial and Business Services,18
junior purschaser,"purchasing,supply chain",Purchasing and Supply Chain,"staffing,recruiting",Financial and Business Services,18
sustainability governance analyst (hybrid),other,Other,"banking,financial services,investment banking","Financial and Business Services, Other",18
senior development coach,other,Other,"business consulting,services","Financial and Business Services, Other",18
"vice president, biologics discovery head",other,Other,"staffing,recruiting",Financial and Business Services,18
